dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_lady_ask_for_quest:lady_mission_told|Oh, eu temo que nunca mais veja meu {s17}, {s13} novamente... Ele é prisioneiro na masmorra de {s14}. Tentamos negociar seu resgate, mas estava muito caro. Nunca poderemos juntar esse dinheiro sem vender tudo que possuímos, e Deus sabe que {s13} preferiria ficar o resto da vida na prisão do que ver a família em penúria. Ao invés disso eu bolei um plano para tirá-lo de lá, mas necessitará que alguém faça um grande sacrifício, e até agora, ninguém quis me ouvir ou ajudar... 
dlga_lady_ask_for_quest:lady_mission_told.1|Meu pobre {s11}, {s13}, foi feito prisioneiro nas masmorras de {s14}. A única maneira que podemos nos falar é através de cartas que trocamos quando possível, mas a jornada até lá é perigosa que temos pouca chance de fazer isso por conta própria. Por favor, você entregaria uma carta para mim?
dlga_lady_ask_for_quest:lady_quest_duel_for_lady|{playername}, é bondade sua perguntar, mas sabe pouco dos meus problemas e não posso pedir que corra perigo por minha causa.
dlga_lady_quest_duel_for_lady:lady_quest_duel_for_lady_2|Me diga que problema é esse, e eu farei minhas próprias decisões.
dlga_lady_quest_duel_for_lady_2:lady_quest_duel_for_lady_3|Muito bem, como quiser... Meu esposo fez certos inimigos em sua vida, {playername}. Um dos mais audazes é {s13}. Ele sai por ai fazendo terríveis acusações sobre mim, impugnando minha honra a torto e a direito! Uma vez que ele não pode ferir meu marido diretamente, ele está me usando como alvo para tentar manchar nosso nome. Você deveria ouvir as terríveis coisas que ele diz! Eu gostaria que houvesse alguém bravo o suficiente para calá-lo, mas {s13} é um reconhecido e temido espadachim...
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_accepted|Não o temo, {s65}. Farei ele engolir suas mentiras.
dlga_lady_quest_duel_for_lady_3_accepted:close_window|Oh! Não posso pedir isso de você, {playername}, mas... seria eternamente grata a você. Será tão bom se você defender minha honra. Muito, muito obrigado. Todas as minhas preces vão com você.
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_rejected|Se ele é assim tão perigoso, talvez seja melhor apenas ignorá-lo...
dlga_lady_quest_duel_for_lady_3_rejected:close_window|Oh... Talvez tenha razão, {playername}. Eu deveria ignorar esses medos bobos assim como cavalheirismo e coragem. As pessoas não são mais assim... Tenha um bom dia.
dlga_lady_ask_for_quest:lady_pretalk.1|Não, {playername}, eu não tenho necessidade de um campeão no momento.
dlga_lady_mission_told:lady_mission_accepted|Como desejar, {s65}, será feito.
dlga_lady_mission_told:lady_mission_rejected|{s66}, temo que não possa ajudá-la no momento.
dlga_lady_mission_accepted:close_window|Você é {um verdadeiro cavalheiro/uma verdadeira dama}, {playername}. Agradeço muito por me ajudar.
dlga_lady_mission_rejected:close_window|Não ajudaria uma mulher em necessidade? Deveria se envergonhar, {playername}... Por favor me deixe em paz, tenho um importante bordado para acabar.
dlga_lady_talk:lady_restore_relation|Eu gostaria de melhorar minhas relações com um lorde. Poderia me ajudar?
dlga_lady_restore_relation:lady_pretalk|{playername}, não o conheço suficiente para fazer algo por você. Me desculpe.
dlga_lady_restore_relation:lady_restore_relation_2|Hmm. Parece que você está com problemas com alguém. Muito bem, com quem quer restaurar sua relação?
dlga_lady_restore_relation_2:lady_restore_relation_2b|{s1}
dlga_lady_restore_relation_2:lady_pretalk|Esqueça. Eu me dou bem o bastante com todo mundo.
dlga_lady_restore_relation_2b:lady_restore_relation_3|Bem posso tentar ajudá-l{o/a} nisso. Tenho certeza que alguns presentes caros farão {s10} olhar para você mais favoravelmente.
dlga_lady_restore_relation_3:lady_restore_relation_4|Você pode melhorar sua relação com {s10} mandando para {reg4?ela:ele} um presente valendo {reg10} dinares. No entanto, se você puder pagar {reg11} dinares no presente faria uma boa impressão com {reg4?ela:ele}. E se chegar a {reg12} dinares, que realmente tornará a situação mais tranquila.
dlga_lady_restore_relation_4:lady_restore_relation_5|Acho que um presente de {reg10} dinares será o suficiente.
dlga_lady_restore_relation_4:lady_restore_relation_5.1|Talvez eu possa pagar {reg11} dinares.
dlga_lady_restore_relation_4:lady_restore_relation_5.2|Nesse caso, estou pronto para gastar {reg12} dinares.
dlga_lady_restore_relation_4:lady_restore_relation_cant_afford|Não acho que eu possa conceder um presente no atual momento.
dlga_lady_restore_relation_5:lady_restore_relation_6|Excelente. Então escolherei um presente apropriado para que você envie para {s10} com seus cumprimentos. Tenho certeza que {reg4?ela:ele} apreciará o gesto.
dlga_lady_restore_relation_6:lady_pretalk|Obrigado por sua ajuda, madame.
dlga_lady_restore_relation_cant_afford:lady_pretalk|Temo que não possa ser de mais valia nesse caso, {playername}. Sinto muito.
dlga_lady_talk:lady_leave|Preciso partir agora.
dlga_lady_leave:close_window|{s12}
dlga_convince_begin:convince_options|Ainda não vejo o por que devo aceitar o que está me pedindo.
dlga_convince_options:convince_bribe|Então eu farei com que valha a pena para você. ({reg8} dinares)
dlga_convince_options:convince_friendship|Por favor, faça isso pela nossa amizade. (-{reg9} de relação)
dlga_convince_options:convince_persuade_begin|Deixe-me tentar convencê-lo. (Persuasão)
dlga_convince_options:lord_pretalk|Deixe para lá.
dlga_convince_bribe:convince_bribe_verify|Mmm, um generoso presente para meus cofres será certamente benvindo... {reg8} dinares devem dar. Se concordar, é claro, depois seguirei sua sugestão.
dlga_convince_bribe_verify:convince_bribe_cant_afford|Temo que minhas finanças não suportem tal presente.
dlga_convince_bribe_verify:convince_bribe_goon|Muito bem, por favor aceite estes {reg8} dinares como uma prova de minha gratidão.
dlga_convince_bribe_verify:convince_begin|Deixe-me pensar sobre isso pouco mais.
dlga_convince_bribe_cant_afford:convince_options|Ah. Nesse caso, há pouco que posso fazer, a menos que você tenha mais algo a dizer.
dlga_convince_bribe_goon:convince_accept|{Meu caro/Minha cara} {playername}, seu generoso presente me levou a reconsiderar o que me pediu, e tenho que apreciar a sabedoria de sua proposta.
dlga_convince_friendship:convince_friendship_verify|Você me ajudou muito no passado, {playername}, e por isso aceitarei seu pedido, mas saiba que não gosto de usar nosso relacionamento dessa maneira.
dlga_convince_friendship_verify:convince_friendship_go_on|Perdoe-me, meu amigo, mas preciso de sua ajuda nisso.
dlga_convince_friendship_verify:lord_pretalk|Se isso não te agradar, então tentarei algo diferente.
dlga_convince_friendship_go_on:convince_accept|Certo então, {playername}, eu aceitarei isso por sua causa. Mas lembre-se, você me deve uma.
dlga_convince_friendship:lord_pretalk|Não acho que eu deva tal favor, {playername}. Não vejo razão de aceitar isso.
dlga_convince_friendship:lord_pretalk.1|Isso é uma piada? Você tem coragem em me pedir favores, {playername}. Pois lhe asseguro que não terá nada de mim.
dlga_convince_persuade_begin:convince_persuade_begin_2|Muito bem. Convença-me.
dlga_convince_persuade_begin_2:convince_persuade|[Tentar persuadir]
dlga_convince_persuade_begin_2:convince_begin|Espere, talvez haja outra maneira de convencê-lo.
dlga_convince_persuade_begin:lord_pretalk|Santa Paciência, {playername}! Já não nos falamos o suficiente? Estou cansado de ouvir você, e é isso!
dlga_convince_persuade:convince_accept|Certo, certo. Você me convenceu. Farei o que me sugeriu.
dlga_convince_persuade:convince_options|Faz sentido, {playername}, Admito isso. Contudo ainda não estou convencido que deveria fazer o que diz.
dlga_convince_persuade:convince_options.1|Chega, {playername}. Você tem muitos argumentos, mas nenhum deles é realmente convincente. Mantenho minha posição anterior.
dlga_convince_persuade:convince_options.2|Para falar a verdade, {playername}, não consigo ver o que há de bom no que me disse. O que me pede faz menos sentido agora do que quando pediu antes.
dlga_start:siege_won_seneschal_1|Preciso dar-lhe os parabéns por sua vitória, {meu senhor/minha senhora}. Benvind{o/a} a {s1}. Nós, os governantes desse castelo, estamos as suas ordens.
dlga_siege_won_seneschal_1:siege_won_seneschal_2|Você é o senescal?
dlga_siege_won_seneschal_2:siege_won_seneschal_3|De fato eu sou, {meu senhor/minha senhora}. Eu sempre servi os mestres de {s1} o melhor que pude, e em qualquer lado que eles estivessem. Portanto você pode contar com minha total lealdade durante todo o tempo que você for {o senhor/a senhora} do lugar. Agora, você pretende me manter como senescal? Eu prometo que não vai se desapontar.
dlga_siege_won_seneschal_3:siege_won_seneschal_4|Muito bem, você pode manter seu posto por enquanto.
dlga_siege_won_seneschal_3:siege_won_seneschal_4.1|Você pode ficar, mas eu ficarei de olho em você.
dlga_siege_won_seneschal_4:siege_won_seneschal_5|Obrigado, {meu senhor/minha senhora}. Se perdoar minha impertinência, poderia perguntar o que deseja fazer com o castelo?
dlga_siege_won_seneschal_5:siege_won_seneschal_6|Eu irei vendê-lo para outro lorde.
dlga_siege_won_seneschal_5:siege_won_seneschal_6.1|Eu pretendo ficar com ele.
dlga_siege_won_seneschal_5:siege_won_seneschal_list_options|Eu ainda não pensei muito nisso. Qual são minhas opções?
dlga_siege_won_seneschal_list_options:siege_won_seneschal_list_options_2|De acordo com nossas leis e tradições, você pode fazer uma das seguintes coisas. Primeiro, você poderia colocar uma guarnição aqui para proteger o castelo de contra-ataques imediatos, então procurar uma audiência com algum lorde rico e pedir que ele faça uma oferta. O castelo pode valer uma quantia considerável, pode acreditar. Se não deseja vendê-lo, então deve encontrar um lorde soberano e protetor que aceitaria você como vassalo. Sem apoio e um exército real, será difícil manter o castelo. Você e {s1} serão um potencial alvo para qualquer um com ambição e alguns soldados.
dlga_siege_won_seneschal_list_options_2:siege_won_seneschal_list_options_3|O que quer dizer com um lorde soberano e protetor? Eu conquistei esse lugar com minhas próprias mãos, não preciso de mais ninguém!
dlga_siege_won_seneschal_list_options_3:siege_won_seneschal_list_options_4|Claro que não precisa, {meu senhor/minha senhora}. Contudo, nenhum nobre nessa terra irá reconhecer seu domínio sobre o castelo, a menos que isso seja confirmado por decreto real. Eles diriam que {s1} seria uma fortaleza fora da lei e irão a tomar de você assim que a oportunidade aconteça. Nem mesmo você pode fazer frente contra um exército inteiro.
dlga_siege_won_seneschal_list_options_4:siege_won_seneschal_6|Hmm. Vou pensar sobre isso.
dlga_siege_won_seneschal_6:close_window|Estou muito agradecido por ouvir isso, {meu senhor/minha senhora}. Estou apenas tentando serví-l{o/a} o melhor que posso. Se algum dia precisar de mim, estarei no grande salão arrumando as coisas para que o castelo receba suas forças.
dlga_start:seneschal_intro_1|Bom dia, {senhor/madame}. Acho que não vi você por aqui antes. Permita-me apresentar-me como o senescal de {s1}.
dlga_seneschal_intro_1:seneschal_intro_1a|Um prazer conhecê-lo, {s65}.
dlga_seneschal_intro_1a:seneschal_talk|Como posso ajudá-lo?
dlga_seneschal_intro_1:seneschal_intro_1b|O que exatamente você faz aqui?
dlga_seneschal_intro_1b:seneschal_talk|Ah, os deveres de um senescal são muitos, {bom senhor/distinta senhora}. Por exemplo, eu coleto as taxas das propriedades, eu organizo as dispensas do castelo, eu lido com os campesinos locais, eu tomo conta da equipe de trabalhadores do castelo, eu organizo suprimentos para a guarnição... Todas as tarefas mundanas deste feudo são minha responsividade, em favor de meu lorde. Tudo, exceto comandar os soldados.
dlga_start:seneschal_talk|Bom dia, {senhor/madame}.
dlga_seneschal_pretalk:seneschal_talk|Mais alguma coisa?
dlga_seneschal_talk:seneschal_ask_something|Eu gostaria de te perguntar uma coisa.
dlga_seneschal_talk:seneschal_ask_about_someone|Eu quero saber mais sobre alguém...
dlga_seneschal_ask_about_someone:seneschal_ask_about_someone_2|Talvez eu possa ajudá-l{o/a}. Quem tem em mente?
dlga_seneschal_ask_about_someone_2:seneschal_pretalk|Deixe para lá.
dlga_seneschal_talk:close_window|Estou de saída. Adeus.
dlga_seneschal_ask_something:seneschal_ask_something_2|Farei o que puder para ajudar, é claro. O que deseja perguntar?
dlga_seneschal_ask_something_2:seneschal_ask_location|Talvez você saiba onde encontrar alguém...
dlga_seneschal_ask_location:seneschal_ask_location_2|Bem, um homem na minha posição realmente ouve todo tipo de coisa. Quem você teria em mente?
dlga_seneschal_ask_location_2:seneschal_ask_location_3|{s1}
dlga_seneschal_ask_location_2:seneschal_pretalk|Deixe para lá.
dlga_seneschal_ask_location_3:seneschal_pretalk|{s1}
dlga_start:close_window.23|Ali! Posso ver os muros de {s3} à distância. Conseguimos chegar em segurança. Aqui está a bolsa com {reg3} dinares, como prometido. Espero poder viajar com você novamente algum outro dia.
dlga_start:talk_caravan_escort|Chegamos tão longe... Está o caminho livre a frente?
dlga_talk_caravan_escort:talk_caravan_escort_2a|Pode haver bandidos por perto. Fique conosco.
dlga_talk_caravan_escort_2a:close_window|Acredite, {playername}, estamos com você perto o bastante. Mostre o caminho.
dlga_talk_caravan_escort:talk_caravan_escort_2b|Nenhum sinal de problema, podemos respirar aliviados.
dlga_talk_caravan_escort_2b:close_window|Eu respirarei aliviado quando chegar a {s1} e em nenhum momento antes. Vamos continuar.
dlga_start:merchant_talk|O que você quer? Pagamos sua taxa não faz nem três dias.
dlga_start:merchant_talk.1|Saudações, amigo.
dlga_start:merchant_talk.2|O que você quer? Somos simples comerciantes, não temos contendas com você, então deixe-nos em paz.
dlga_start:merchant_talk.3|Esteja avisado, patife! Esta caravana esta sob proteção de {s9}. Saia do nosso caminho ou enfrente a fúria dele!
dlga_start:merchant_talk.4|Sim? O que quer?
dlga_merchant_pretalk:merchant_talk|Mais alguma coisa?
dlga_merchant_talk:caravan_start_war_quest_1|Você esta invadindo o território de {s17}. Estou confiscando essa caravana e todos os bens!
dlga_caravan_start_war_quest_1:caravan_start_war_quest_2|O que? Que baboseira é essa? Estamos em paz com {s17}, e somos livres para atravessar essas terras!
dlga_caravan_start_war_quest_2:merchant_attack|Veremos isso! Defendam-se!
